src, length, time
1, 1 , 0.000017 
1, 2 , 0.000114 
1, 3 , 0.000372 
1, 4 , 0.003391 
1, 5 , 0.007717 
1, 6 , 0.013963 
1, 7 , 0.019540 
1, 8 , 0.025064 
1, 9 , 0.029155 
1, 10 , 0.033150 
1, 11 , 0.037500 
1, 12 , 0.041217 
1, 13 , 0.046580 
1, 14 , 0.049020 
1, 15 , 0.051627 
1, 16 , 0.054295 
1, 17 , 0.057693 
1, 18 , 0.060157 
1, 19 , 0.062401 
1, 20 , 0.064333 
1, 21 , 0.066877 
1, 22 , 0.069551 
1, 23 , 0.071686 
1, 24 , 0.073783 
1, 25 , 0.076124 
1, 26 , 0.078841 
1, 27 , 0.081374 
1, 28 , 0.083789 
1, 29 , 0.086216 
1, 30 , 0.088469 
1, 31 , 0.090644 
1, 32 , 0.092965 
1, 33 , 0.095703 
1, 34 , 0.098196 
1, 35 , 0.100426 
1, 36 , 0.103216 
1, 37 , 0.105206 
1, 38 , 0.107321 
1, 39 , 0.109629 
1, 40 , 0.111775 
1, 41 , 0.113745 
1, 42 , 0.115450 
1, 43 , 0.118676 
1, 44 , 0.121016 
1, 45 , 0.123800 
1, 46 , 0.126944 
1, 47 , 0.129646 
1, 48 , 0.131971 
1, 49 , 0.134625 
1, 50 , 0.137547 
1, 51 , 0.140992 
1, 52 , 0.144555 
1, 53 , 0.147505 
1, 54 , 0.150425 
1, 55 , 0.155110 
1, 56 , 0.159266 
1, 57 , 0.163292 
1, 58 , 0.167916 
1, 59 , 0.172358 
1, 60 , 0.176631 
1, 61 , 0.180866 
1, 62 , 0.184545 
1, 63 , 0.188638 
1, 64 , 0.192679 
1, 65 , 0.196381 
1, 66 , 0.199743 
1, 67 , 0.202979 
1, 68 , 0.207236 
1, 69 , 0.211517 
1, 70 , 0.216007 
1, 71 , 0.219530 
1, 72 , 0.222719 
1, 73 , 0.226566 
1, 74 , 0.229269 
1, 75 , 0.231849 
1, 76 , 0.234178 
1, 77 , 0.236311 
1, 78 , 0.238078 
1, 79 , 0.240440 
1, 80 , 0.243008 
1, 81 , 0.245091 
1, 82 , 0.247273 
1, 83 , 0.249348 
1, 84 , 0.251340 
1, 85 , 0.253231 
1, 86 , 0.255875 
1, 87 , 0.258635 
1, 88 , 0.261020 
1, 89 , 0.264050 
1, 90 , 0.266635 
1, 91 , 0.269436 
1, 92 , 0.271870 
1, 93 , 0.274423 
1, 94 , 0.277497 
1, 95 , 0.280209 
1, 96 , 0.282506 
1, 97 , 0.284347 
1, 98 , 0.286403 
1, 99 , 0.288188 
1, 100 , 0.290626 
1, 101 , 0.293077 
1, 102 , 0.295160 
1, 103 , 0.297417 
1, 104 , 0.299490 
1, 105 , 0.301421 
1, 106 , 0.303263 
1, 107 , 0.305039 
1, 108 , 0.307904 
1, 109 , 0.310158 
1, 110 , 0.313082 
1, 111 , 0.315490 
1, 112 , 0.318168 
1, 113 , 0.320593 
1, 114 , 0.323008 
1, 115 , 0.326271 
1, 116 , 0.328826 
1, 117 , 0.331304 
1, 118 , 0.334207 
1, 119 , 0.336871 
1, 120 , 0.338985 
1, 121 , 0.341608 
1, 122 , 0.343693 
1, 123 , 0.345583 
1, 124 , 0.347704 
1, 125 , 0.349998 
1, 126 , 0.352098 
1, 127 , 0.354025 
1, 128 , 0.356043 
1, 129 , 0.358209 
1, 130 , 0.360257 
1, 131 , 0.362190 
1, 132 , 0.364072 
1, 133 , 0.365988 
1, 134 , 0.367637 
1, 135 , 0.369477 
1, 136 , 0.372026 
1, 137 , 0.374413 
1, 138 , 0.376670 
1, 139 , 0.379419 
1, 140 , 0.381793 
1, 141 , 0.383785 
1, 142 , 0.386552 
1, 143 , 0.388949 
1, 144 , 0.391797 
1, 145 , 0.394489 
1, 146 , 0.397055 
1, 147 , 0.399785 
1, 148 , 0.402333 
1, 149 , 0.404687 
1, 150 , 0.407569 
1, 151 , 0.410633 
1, 152 , 0.412761 
1, 153 , 0.414943 
1, 154 , 0.416981 
1, 155 , 0.418756 
1, 156 , 0.420709 
1, 157 , 0.422834 
1, 158 , 0.425441 
1, 159 , 0.427603 
1, 160 , 0.429772 
1, 161 , 0.431903 
1, 162 , 0.433845 
1, 163 , 0.435847 
1, 164 , 0.437812 
1, 165 , 0.439840 
1, 166 , 0.441728 
1, 167 , 0.443752 
1, 168 , 0.445684 
1, 169 , 0.447388 
1, 170 , 0.449221 
1, 171 , 0.451933 
1, 172 , 0.454198 
1, 173 , 0.456131 
1, 174 , 0.459077 
1, 175 , 0.461651 
1, 176 , 0.463797 
1, 177 , 0.466857 
1, 178 , 0.469294 
1, 179 , 0.472046 
1, 180 , 0.474605 
1, 181 , 0.477228 
1, 182 , 0.479975 
1, 183 , 0.482669 
1, 184 , 0.485024 
1, 185 , 0.487749 
1, 186 , 0.490365 
1, 187 , 0.492806 
1, 188 , 0.495837 
1, 189 , 0.498371 
1, 190 , 0.500575 
1, 191 , 0.503755 
1, 192 , 0.505875 
1, 193 , 0.507718 
1, 194 , 0.510379 
1, 195 , 0.512191 
1, 196 , 0.514018 
1, 197 , 0.515972 
1, 198 , 0.518169 
1, 199 , 0.520467 
1, 200 , 0.522579 
1, 201 , 0.524490 
1, 202 , 0.526816 
1, 203 , 0.528985 
1, 204 , 0.530844 
1, 205 , 0.533017 
1, 206 , 0.535183 
1, 207 , 0.537134 
1, 208 , 0.539033 
1, 209 , 0.541221 
1, 210 , 0.543403 
1, 211 , 0.545548 
1, 212 , 0.547312 
