src, length, time, paths number
1, 1, 0.005007, 2
1, 2, 0.006196, 11
1, 3, 0.005343, 87
1, 4, 0.006111, 451
1, 5, 0.008659, 2014
1, 6, 0.012333, 6975
1, 7, 0.014027, 22868
1, 8, 0.016230, 76842
1, 9, 0.013136, 259791
1, 10, 0.012366, 874533
1, 11, 0.014218, 2957856
1, 12, 0.016220, 9982845
1, 13, 0.017746, 33672700
1, 14, 0.021129, 113410388
1, 15, 0.024570, 381642962

2, 1, 0.005686, 2
2, 2, 0.006264, 15
2, 3, 0.006077, 90
2, 4, 0.007269, 535
2, 5, 0.010190, 2281
2, 6, 0.016347, 11874
2, 7, 0.014363, 72575
2, 8, 0.015923, 466731
2, 9, 0.013366, 3029839
2, 10, 0.012287, 19678700

3, 1, 0.005901, 13
3, 2, 0.012413, 79
3, 3, 0.009977, 487
3, 4, 0.010455, 2184
3, 5, 0.015592, 10299
3, 6, 0.017475, 54833
3, 7, 0.014084, 310481
3, 8, 0.013599, 1813131
3, 9, 0.018530, 10620803
3, 10, 0.014538, 62320949

4, 1, 0.005823, 2
4, 2, 0.007026, 15
4, 3, 0.005326, 89
4, 4, 0.007268, 525
4, 5, 0.009921, 2496
4, 6, 0.014748, 12723
4, 7, 0.011223, 74878
4, 8, 0.012274, 471069
4, 9, 0.014472, 3018084
4, 10, 0.012838, 19347983

5, 1, 0.006587, 2
5, 2, 0.008114, 11
5, 3, 0.006979, 99
5, 4, 0.007269, 530
5, 5, 0.010529, 2486
5, 6, 0.016168, 9235
5, 7, 0.020099, 33532
5, 8, 0.020356, 120482
5, 9, 0.015689, 439278
5, 10, 0.016216, 1599611

6, 1, 0.006144, 2
6, 2, 0.006837, 32
6, 3, 0.006914, 248
6, 4, 0.008581, 1498
6, 5, 0.012741, 10175
6, 6, 0.015882, 79640
6, 7, 0.019461, 628435
6, 8, 0.013708, 5004030
6, 9, 0.012521, 39804451
6, 10, 0.021474, 317486698
